plantId,commonName,botanicalName,category,poolScore,poolLevel,slopeScore,slopeLevel,flowerBedScore,hedgeScore,grassScore,messiness,evergreenPresence,beeDraw,petKidCaution,colorType,welGardens,allStar,notes
33,Surefire Cascade&#8482; Red Begonia,Begonia Assorted,ANNUALS,0,poor,30,poor,62,20,20,high,seasonal/deciduous,medium,normal,foliage color,,,
34,Zinnia,Zinnia elegans,ANNUALS,0,poor,0,poor,62,20,20,high,seasonal/deciduous,medium,normal,foliage color,,,
35,Cucumber 'Armenian',Cucumis melo,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
36,Basil,Ocimum basilicum 'Purpurascens',HERBS AND VEGETABLES,25,poor,0,poor,62,20,20,low,semi-evergreen/uncertain,medium,normal,foliage color,,,
37,Basil 'Large Leaf Italian',Ocimum basilicum 'Large Leaf Italian',HERBS AND VEGETABLES,25,poor,0,poor,62,20,20,low,semi-evergreen/uncertain,medium,normal,flower color,,,
38,Basil,Ocimum basilicum,HERBS AND VEGETABLES,25,poor,0,poor,62,20,20,low,semi-evergreen/uncertain,medium,normal,flower color,,,
39,Basil,Ocimum basilicum var. thyrsiflora,HERBS AND VEGETABLES,25,poor,0,poor,62,20,20,low,semi-evergreen/uncertain,medium,normal,foliage color,,,
40,Bitter Melon,Cucumis sativus,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
41,Borage,Borago officinalis,HERBS AND VEGETABLES,25,poor,0,poor,62,20,20,low,semi-evergreen/uncertain,medium,normal,foliage color,,,
42,Bush Bean 'Blue Lake',Phaseolus vulgaris,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,foliage color,,,
43,Catnip,Nepeta cataria,HERBS AND VEGETABLES,6,poor,0,poor,62,20,20,medium,semi-evergreen/uncertain,medium-high,normal,foliage color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.
44,Celery,Apium graveolens,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
45,Chamomile,Matricaria chamomilla,HERBS AND VEGETABLES,25,poor,0,poor,62,20,20,low,semi-evergreen/uncertain,medium,normal,flower color,,,
46,Chives,Allium schoenoprasum,HERBS AND VEGETABLES,25,poor,0,poor,62,20,20,low,semi-evergreen/uncertain,medium,normal,foliage color,,,
47,Chives 'Garlic',Allium tuberosum,HERBS AND VEGETABLES,25,poor,0,poor,62,20,20,low,semi-evergreen/uncertain,medium,normal,flower color,,,
48,Chives,Allium schoenoprasum,HERBS AND VEGETABLES,25,poor,0,poor,62,20,20,low,semi-evergreen/uncertain,medium,normal,foliage color,,,
49,Cilantro/Coriander,Coriandrum sativum,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
50,Collard Greens,Brassica oleracea var. viridis,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,foliage color,,,
51,Corn Bicolor,Zea mays,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
52,Cucamelon,Cucumis sativus,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
53,Cucumber,Cucumis sativus,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
54,Cucumber 'English Tender Crisp',Cucumis sativus,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
55,Cucumber 'Japanese Long',Cucumis sativus,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
56,Cucumber 'Lemon',Cucumis sativus,HERBS AND VEGETABLES,0,poor,0,poor,20,20,20,high,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
57,Cucumber 'Persian',Cucumis sativus,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
58,Cucumber 'Pickling Bush',Cucumis sativus,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
59,Cucumber 'Saladmore Bush Hybrid',Cucumis sativus,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
60,Cucumber 'Spartan Valor',Cucumis sativus,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
61,Dill,Anethum graveolens,HERBS AND VEGETABLES,25,poor,0,poor,62,20,20,low,semi-evergreen/uncertain,medium,normal,flower color,,,
62,"Dill, Organic",Anethum graveolens,HERBS AND VEGETABLES,25,poor,0,poor,62,20,20,low,semi-evergreen/uncertain,medium,normal,flower color,,,
63,Edamame Beans,Glycine max,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
64,Eggplant,Solanum melongena,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,foliage color,,,
65,Eggplant 'Cloud Nine',Solanum melongena,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
66,Eggplant 'Fairytale',Solanum melongena,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
67,Eggplant 'Ichiban',Solanum melongena,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
68,Eggplant 'Japanese Long',Solanum melongena,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
69,Eggplant 'Millionaire',Solanum melongena,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
70,Fava Bean,Vicia faba,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
71,Fennel 'Green Leaf',Foeniculum vulgare,HERBS AND VEGETABLES,25,poor,0,poor,62,20,20,low,semi-evergreen/uncertain,medium,normal,flower color,,,
72,"Italian Parsley, Organic",Petroselinum crispum,HERBS AND VEGETABLES,0,poor,0,poor,20,20,20,medium,semi-evergreen/uncertain,medium-high,normal,mostly green/texture,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.
73,Kale,Brassica oleracea 'Blue Knight',HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,foliage color,,,
74,Kale,Brassica oleracea,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,foliage color,,,
75,Kale,Brassica oleracea,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,foliage color,,,
76,Lavender,,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,medium,evergreen/everpresent,medium-high,normal,foliage color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.
77,Lemon Balm,Melissa officinalis,HERBS AND VEGETABLES,0,poor,0,poor,20,20,20,high,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
78,Lemongrass,,HERBS AND VEGETABLES,25,poor,0,poor,62,20,25,high,evergreen/everpresent,medium,normal,flower color,,,
79,Thyme 'Lemon',Thymus x citriodorus 'Lemon',HERBS AND VEGETABLES,25,poor,0,poor,62,20,20,high,evergreen/everpresent,medium,normal,foliage color,,,
80,Lemon Verbena,Aloysia citrodora,HERBS AND VEGETABLES,0,poor,0,poor,62,20,20,high,semi-evergreen/uncertain,medium-high,normal,foliage color,Popular Plant garden,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools. | Matched local Sacramento County UC Master Gardener WEL source.
81,Marjoram 'Sweet',Origanum majorana,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,foliage color,,,
82,Melon 'Ambrosia Cantaloupe',Cucumis melo,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
83,Melon 'Ball Hybrid Cantaloupe',Cucumis melo,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
84,Melon 'Crenshaw',Cucumis melo,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
85,Melon 'Gold Star Cantaloupe',Cucumis melo,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,foliage color,,,
86,Melon 'Hale's Best Cantaloupe',Cucumis melo,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
87,Melon 'Harper's Hybrid Cantaloupe',Cucumis melo,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
88,Melon 'Honeydew',Cucumis melo,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
89,Melon 'Roadside Cantaloupe',Cucumis melo,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
90,Mint 'Chocolate',,HERBS AND VEGETABLES,25,poor,0,poor,62,20,20,low,semi-evergreen/uncertain,medium,normal,foliage color,,,
91,Mint,,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
92,Mint,Mentha spicata,HERBS AND VEGETABLES,0,poor,0,poor,20,20,20,high,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
93,Tomato 'Momotaro',Solanum lycopersicum,HERBS AND VEGETABLES,18,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
94,Okra 'Clemson Spineless',Abelmoschus esculentus,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
95,Okra,Abelmoschus esculentus,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,foliage color,,,
96,Onion 'Scallions/Green Onions',Allium cepa,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
97,Onion 'Shallots',Allium cepa,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
98,Onion 'Red',Allium cepa,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,foliage color,,,
99,Onion 'White',Allium cepa,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
100,Onion 'Yellow',Allium cepa,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
101,Oregano,Origanum vulgare,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,foliage color,,,
102,Oregano 'Hot n' Spicy',Origanum vulgare,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
103,Oregano,Origanum vulgare,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
104,"Cilantro/Coriander, Organic",Coriandrum sativum,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
105,Melon 'Hearts of Gold Cantaloupe',Cucumis melo,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,foliage color,,,
106,Mint,Mentha spicata,HERBS AND VEGETABLES,0,poor,0,poor,20,20,20,high,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
107,Oregano 'Italian' Organic,Origanum vulgare,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
108,Rosemary 'Barbecue',Rosmarinus officinalis,HERBS AND VEGETABLES,25,poor,0,poor,62,20,20,medium,evergreen/everpresent,medium-high,normal,foliage color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.
109,Thyme 'English',Thymus vulgaris,HERBS AND VEGETABLES,25,poor,0,poor,62,20,20,low,semi-evergreen/uncertain,medium,normal,foliage color,,,
110,Thyme 'Lemon' Organic,Thymus x citriodorus 'Lemon',HERBS AND VEGETABLES,25,poor,0,poor,62,20,20,high,evergreen/everpresent,medium,normal,foliage color,,,
111,Parsley 'Curly Leaf',Petroselinum crispum,HERBS AND VEGETABLES,0,poor,0,poor,20,20,20,medium,semi-evergreen/uncertain,medium-high,normal,mostly green/texture,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.
112,Parsley,Petroselinum crispum,HERBS AND VEGETABLES,0,poor,0,poor,20,20,20,medium,semi-evergreen/uncertain,medium-high,normal,mostly green/texture,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.
113,Pepper 'Anaheim',Capsicum annuum,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
114,Pepper 'Big Bertha',Capsicum annuum,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
115,Pepper 'Calabrian Chile',Capsicum annuum,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
116,Pepper 'Caribbean Red',Capsicum annuum,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,foliage color,,,
117,Pepper,Capsicum annuum,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
118,Pepper,Capsicum annuum,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
119,Pepper 'Chile de Arbol',Capsicum annuum,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
120,Pepper 'Eisley Wax',Capsicum annuum,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
121,Pepper,Capsicum annuum,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
122,Pepper 'Garden Salsa',Capsicum annuum,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
123,Pepper,Capsicum annuum,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
124,Pepper 'Green Bell',Capsicum annuum,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
125,Pepper 'Gypsy',Capsicum annuum,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
126,Pepper,Capsicum annuum,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
127,Pepper,Capsicum annuum,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
128,Pepper 'Italian Long',Capsicum annuum,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
129,Pepper,Capsicum annuum,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
130,Pepper 'Jimmy Nardello',Capsicum annuum,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
131,Pepper 'Marconi',Capsicum annuum,HERBS AND VEGETABLES,25,poor,0,poor,20,20,20,low,semi-evergreen/uncertain,low,normal,mostly green/texture,,,
132,Pepper,Capsicum annuum,HERBS AND VEGETABLES,0,poor,0,poor,20,20,20,high,semi-evergreen/uncertain,low,normal,foliage color,,,
