Plant_ID,Product_Name,Botanical_Name,Green_Acres_URL,Warnings,Price_Display,Height_ft,Width_ft,Light,Water
287,Buchanan's Sage,Salvia buchananii,https://idiggreenacres.com/products/buchanans-sage?variant=41259171709097,,$26.50,3-4,3-3,Full Sun,Low
288,Bush Strawflower,Bracteantha bracteata,https://idiggreenacres.com/products/bush-strawflower?variant=31685886935063,,$8.95-$9.95,3-4,3-4,Full Sun,Low
289,Cadet&#8482; Verbena,Cadet&#8482; Verbena Series,https://idiggreenacres.com/products/cadet-8482-verbena?variant=40447758958761,,$8.95,0.67-0.83,1-1.17,Full Sun,Low
290,Caladium,,https://idiggreenacres.com/products/caladium?variant=40851749765289,,$5.50-$12.50,2-4,2-4,Full Shade,Moderate
291,Caladium Heart to Heart&#174; Series,Caladium Heart to Heart&#174;,https://idiggreenacres.com/products/caladium-heart-to-heart-174-series?variant=40852326121641,,$7.50,2-4,2-4,Full Shade,Moderate
292,Million Bells,,https://idiggreenacres.com/products/calibrachoa?variant=39452392718505,,$5.95-$8.95,0.5-0.67,1-2,Full Sun; Morning Sun,Moderate
293,California Fuchsia,Epilobium / Zauschneria californica,https://idiggreenacres.com/products/california-fuchsia?variant=14955536678964,,$12.50,1-2,3-4,Full Sun,Low
294,California Gray Rush,Juncus patens,https://idiggreenacres.com/products/california-grey-rush?variant=40453366546601,,$12.50,2-2,2-2,Full Sun; Morning Sun,Moderate
295,California Red Buckwheat,Eriogonum grande rubescens,https://idiggreenacres.com/products/california-red-buckwheat?variant=40466691948713,,$12.50,1-3,4-4,Full Sun,Low
296,California White Sage,Salvia apiana,https://idiggreenacres.com/products/california-white-sage?variant=41889676492969,,$6.25-$10.50,3-5,3-5,Full Sun,Low
297,Calla Lily Hybrids,Zantedeschia aethiopica,https://idiggreenacres.com/products/calla-lily-hybrids?variant=14135488282676,,$13.50-$35.00,2-4,2-4,Filtered Sun; Morning Sun,Moderate
298,Campfire Crassula,Crassula capitella 'Campfire',https://idiggreenacres.com/products/campfire-crassula?variant=14485830041652,,$6.25-$6.95,0.5-1,2-3,Morning Sun,Low; Moderate
299,Catmint,Nepeta x faassenii,https://idiggreenacres.com/products/catmint?variant=31633172299799,,$9.95,1-1,1-2,Full Sun,Low
300,Catmint 'Cat's Pajamas',Nepeta hybrid,https://idiggreenacres.com/products/catmint-cats-pajamas?variant=46853511217321,,$10.50,1-1.17,1.5-1.83,Full Sun,Moderate
301,Catmint 'Walker's Low',Nepeta racemosa 'Walker's Low',https://idiggreenacres.com/products/catmint-walkers-low?variant=31308377915415,,$9.95,2-3,2-3,Full Sun,Low
302,Cheyenne Spirit Coneflower,Echinacea hybrida 'Cheyenne Spirit',https://idiggreenacres.com/products/cheyenne-spirit-coneflower?variant=31577522962455,,$10.50-$12.50,2-2.5,1.5-2,Full Sun,Moderate
303,Chocolate Cosmos,Cosmos atrosanguineus,https://idiggreenacres.com/products/chocolate-cosmos?variant=28522672685108,,$8.95,1-2,1-2,Full Sun,Moderate
304,Cigar Plant,Cuphea ignea,https://idiggreenacres.com/products/cigar-plant?variant=41885986619561,,$9.95,1.5-2.5,2-3,Full Sun,Moderate
305,Citronella Geranium,Pelargonium citrosum,https://idiggreenacres.com/products/citronella-geranium?variant=41872084828329,,$8.95-$14.50,1-3,1-3,Full Sun,Moderate
306,Cleveland Sage,Salvia clevelandii,https://idiggreenacres.com/products/cleveland-sage?variant=40466586828969,,$12.50,3-5,5-8,Full Sun,Low
307,Clivia Lily,Clivia Hybrid,https://idiggreenacres.com/products/clivia-lily?variant=14013875355700,,$19.50,1-2,1-2,Morning Sun,Low
308,Coneflower,Echinacea purpurea,https://idiggreenacres.com/products/cone-flower?variant=31685918097431,,$10.50-$32.50,3-4,1-2,Full Sun,Moderate
309,Coreopsis,Coreopsis Assorted,https://idiggreenacres.com/products/coreopsis?variant=14659226665012,,$6.25-$9.95,2-3,1-3,Full Sun,Low; Moderate
310,Coreopsis 'Early Sunrise',Coreopsis grandiflora 'Early Sunrise',https://idiggreenacres.com/products/coreopsis-early-sunrise?variant=31551973425175,,$8.95-$9.95,1-2,3-3,Full Sun,Moderate
311,Coreopsis 'Moonbeam',Coreopsis verticillata 'Moonbeam',https://idiggreenacres.com/products/coreopsis-moonbeam?variant=39384744296617,,$8.95,2-3,1-3,Full Sun,Low; Moderate
312,Coreopsis 'Nana',Coreopsis auriculata 'Nana',https://idiggreenacres.com/products/coreopsis-nana?variant=13368834654260,,$8.95-$9.95,0.42-0.67,2-2,Full Sun; Morning Sun,Low
313,Cotyledon 'White Sprite',Cotyledon 'White Sprite',https://idiggreenacres.com/products/cotyledon-white-sprite?variant=31655792181271,,$6.25,2-2,2-2,Bright Light; Morning Sun,Low
314,Cranesbill 'Bishops Form',Erodium variabile 'Bishops Form',https://idiggreenacres.com/products/cranesbill-bishops-form?variant=14485499215924,,$6.25,0.25-0.5,1-1,Full Sun; Morning Sun; Full Sun or Morning Sun/Afternoon Shade,Moderate
315,Cranesbill 'Rozanne',Geranium x 'Rozanne',https://idiggreenacres.com/products/cranesbill-rozanne?variant=31552002195479,,$15.00,1-2,2-3,Full Sun; Morning Sun; Full Sun or Morning Sun/Afternoon Shade,Moderate
316,Crassula 'Calico Kitten',Crassula marginalis rubra,https://idiggreenacres.com/products/crassula-marginalis-rubra?variant=14834814910516,,$6.25,0.5-0.5,1-1,Morning Sun,Low
317,Crassula ovata 'Gollum',Crassula ovata 'Gollum',https://idiggreenacres.com/products/crassula-ovata-gollum?variant=14834840043572,,$6.25,3-3,2-2,Bright Light; Morning Sun,Low; Moderate
318,Crassula ovata 'Hobbit',Crassula ovata 'Hobbit',https://idiggreenacres.com/products/crassula-ovata-hobbit?variant=14108595224628,,$6.25,3-3,2-2,Bright Light; Morning Sun,Low; Moderate
319,Crassula ovata 'Minor',Crassula ovata 'Minor',https://idiggreenacres.com/products/crassula-ovata-minor?variant=14109008461876,,$6.25,2-3,1-2,Bright Light; Morning Sun,Low; Moderate
320,Crassula ovata 'Variegated',Crassula ovata 'Variegated',https://idiggreenacres.com/products/crassula-ovata-variegated?variant=14109068132404,,$6.25,2-3,1-2,Bright Light; Full Sun; Morning Sun,Low; Moderate
321,Crassula 'Princess Pine',Crassula 'Princess Pine',https://idiggreenacres.com/products/crassula-princess-pine?variant=14834784665652,,$6.25,0.83-1.5,6-8,Morning Sun,Low; Moderate
322,Creeping Thyme 'Pink',Thymus praecox arcticus 'Pink',https://idiggreenacres.com/products/creeping-pink-thyme?variant=28602924793908,,$27.50,0.17-0.25,2-2,Full Sun; Morning Sun,Moderate
323,Creeping Thyme 'Red',Thymus praecox-arcticus 'Red',https://idiggreenacres.com/products/creeping-red-thyme?variant=28602896613428,,$27.50,0.08-0.17,1-2,Full Sun; Morning Sun,Moderate
324,Creeping Wire Vine,Muehlenbeckia axillaris,https://idiggreenacres.com/products/creeping-wire-vine?variant=31248506421271,,$6.25-$6.95,0.25-0.33,2-2,Morning Sun/Afternoon Shade,Moderate
325,Creeping Zinnia,Sanvitalia procumbens 'Sunbini',https://idiggreenacres.com/products/creeping-zinnia?variant=14485629108276,,$6.25,0.33-0.5,1-2,Full Sun,Moderate
326,Crocosmia,,https://idiggreenacres.com/products/crocosmia?variant=28939060838452,,$12.50-$26.50,2-4,2-3,Full Sun; Morning Sun,Moderate
327,False Heather,Cuphea hyssopifolia,https://idiggreenacres.com/products/cuphea?variant=9881293488180,,$1.75-$8.95,1-2,2-3,Filtered Sun; Full Sun,Moderate
328,Curly Rush,Juncus effusus 'Spiralis',https://idiggreenacres.com/products/curly-rush?variant=14483606896692,,$6.25,2.5-2.5,2.5-2.5,Full Shade; Full Sun; Morning Sun,High; Moderate
329,Dahlia,,https://idiggreenacres.com/products/dahlia?variant=40447816925353,,$5.25-$10.50,2-4,1-3,Morning Sun,Moderate
330,Dahlia 'Mystic' Series,,https://idiggreenacres.com/products/dahlia-mystic-series?variant=31464865562647,,$8.95,2-3,1-2,Morning Sun,Moderate
331,Dahlia 'XXL Series',,https://idiggreenacres.com/products/dahlia-xxl-series?variant=40851281281193,,$8.95-$10.50,2-4,1-3,Morning Sun,Moderate
332,Color Bowl,Color Bowl Assorted,https://idiggreenacres.com/products/day-of-the-dead-color-bowl?variant=42636376834217,missing_height; missing_width,$15.00,,,Full Sun; Morning Sun; Full Sun or Morning Sun/Afternoon Shade,Moderate
333,Dead Nettle,Lamium maculatum,https://idiggreenacres.com/products/dead-nettle?variant=32901369397271,,$6.25-$8.95,0.5-0.67,3-3,Full Shade; Morning Sun,Moderate
334,Delphinium,Delphinium Assorted,https://idiggreenacres.com/products/delphinium?variant=39452435087529,,$6.25-$24.50,4-6,2-3,Morning Sun,Moderate
335,Diamond Frost&#174; Euphorbia,Euphorbia hybrid,https://idiggreenacres.com/products/diamond-frost-174-euphorbia?variant=45406435082409,,$7.50-$7.95,1-1.5,1-1.5,Full Sun; Morning Sun,Low
336,Dianthus,Dianthus Assorted,https://idiggreenacres.com/products/dianthus?variant=40529879105705,,$8.95-$9.95,1-2,1-2,Full Sun; Morning Sun,Moderate
337,Diascia,,https://idiggreenacres.com/products/diascia?variant=13999884009524,,$6.25,1-2,1-3,Full Sun,Moderate
338,Dichondra,Dichondra argentea 'Silver Falls',https://idiggreenacres.com/products/dichondra-silver-falls?variant=14000449060916,,$6.25-$9.95,0.17-0.25,2-4,Full Shade; Full Sun; Morning Sun,Moderate
339,Digiplexis&#174; 'Illumination Series',,https://idiggreenacres.com/products/digiplexis-174-illumination-series?variant=28621369901108,,$12.50,2-3,1-2,Full Sun; Morning Sun,Moderate
340,Dinnerplate Dahlia,,https://idiggreenacres.com/products/dinnerplate-dahlia?variant=28734319624244,,$28.50,3-4,2-3,Morning Sun,Moderate
341,Dusty Miller 'Silver Dust',Senecio cineraria,https://idiggreenacres.com/products/dusty-miller-silver-dust?variant=31740394405911,,$1.75-$5.25,2-3,2-3,Full Sun,Moderate
342,Dwarf Mondo Grass,Ophiopogon japonicus 'Nana',https://idiggreenacres.com/products/dwarf-mondo-grass?variant=41974732095657,missing_width,$10.50-$27.50,0.25-0.42,,Full Shade; Morning Sun; Morning Sun/Afternoon Shade or Full Shade,Moderate
343,Silver Carpet,Dymondia margaretae,https://idiggreenacres.com/products/dymondia?variant=9881325535284,,$6.95-$27.50,0.25-0.25,1.5-2,Full Sun,Low
344,Echeveria 'Afterglow',,https://idiggreenacres.com/products/echeveria-afterglow?variant=14109153296436,,$6.25,1-2,1-2,Bright Light; Morning Sun,Low; Moderate
345,Echeveria,,https://idiggreenacres.com/products/echeveria-arrow?variant=14109182427188,,$6.25-$6.95,0.5-1,1-1,Bright Light; Morning Sun,Low; Moderate
346,Echeveria 'Black Prince',Echeveria 'Black Prince',https://idiggreenacres.com/products/echeveria-black-prince?variant=14109204709428,,$6.25,0.33-0.83,0.33-0.83,Bright Light; Morning Sun,Low; Moderate
347,Echeveria,Echeveria 'Blue Bird',https://idiggreenacres.com/products/echeveria-blue-bird?variant=38053781700777,,$6.25-$6.95,0.25-0.42,0.67-0.67,Bright Light; Morning Sun,Low; Moderate
348,Echeveria 'Blue Prince',Echeveria 'Blue Prince',https://idiggreenacres.com/products/echeveria-blue-prince?variant=14123817369652,,$6.25,0.25-0.42,0.42-0.5,Bright Light; Morning Sun,Low; Moderate
349,Echeveria,,https://idiggreenacres.com/products/echeveria-elegans?variant=14123892801588,,$6.25-$6.95,0.67-0.67,1-1,Bright Light; Morning Sun,Low; Moderate
350,Echeveria 'Frosty',,https://idiggreenacres.com/products/echeveria-frosty?variant=14123959287860,,$6.25,0.5-1,2-3,Bright Light; Morning Sun,Low; Moderate
351,Echeveria 'Multicaulis',,https://idiggreenacres.com/products/echeveria-multicaulis?variant=14124444975156,,$6.25,0.67-0.67,0.5-0.5,Bright Light; Morning Sun,Low; Moderate
352,Echeveria nodulosa,Echeveria nodulosa,https://idiggreenacres.com/products/echeveria-nodulosa?variant=43032805474473,,$6.25,1-2,2-3,Bright Light; Morning Sun,Low; Moderate
353,Echeveria,,https://idiggreenacres.com/products/echeveria-parva?variant=14124583223348,,$6.25-$6.95,0.5-0.67,0.42-0.5,Bright Light; Morning Sun,Low; Moderate
354,Echeveria,,https://idiggreenacres.com/products/echeveria-pelusida?variant=14124658065460,,$6.25-$6.95,0.5-0.67,0.42-0.5,Bright Light; Morning Sun,Low; Moderate
355,Echeveria,Echeveria 'Perle Von Nurnberg',https://idiggreenacres.com/products/echeveria-perle-von-nurnberg?variant=31231122341911,,$4.25-$6.95,0.67-0.83,0.5-0.67,Bright Light; Morning Sun,Low; Moderate
356,Echeveria 'Pulidonis',,https://idiggreenacres.com/products/echeveria-pulidonis?variant=31663546892311,,$6.25,0.5-0.67,0.42-0.5,Bright Light; Morning Sun,Low; Moderate
357,Echeveria,Echeveria agavoides 'Red Tip',https://idiggreenacres.com/products/echeveria-red-tip?variant=14124773507124,,$6.25-$6.95,0.5-0.5,1-1,Bright Light; Morning Sun,Low; Moderate
358,Echeveria 'Topsy Turvy',Echeveria 'Topsy Turvy',https://idiggreenacres.com/products/echeveria-topsy-turvy?variant=14124820561972,,$6.25,1-1,1-1,Bright Light; Morning Sun,Low; Moderate
359,Echibeckia&#8482; Summerina&#174;,,https://idiggreenacres.com/products/echibeckia-8482-summerina-174?variant=29178465386548,,$12.50-$13.50,2-3,2-2,Full Sun,Moderate
360,Elephant Bush,Portulacaria afra,https://idiggreenacres.com/products/elephant-bush?variant=14170873462836,,$6.25-$7.95,8-12,4-6,Morning Sun/Afternoon Shade or Bright Light,Low; Moderate
361,Thyme 'Elfin',Thymus serpyllum,https://idiggreenacres.com/products/elfin-thyme?variant=13549887586356,,$6.95-$27.50,0.17-0.17,0.33-0.67,Full Sun,Low
362,Enduro&#8482; Verbena,Enduro&#8482; Verbena Series,https://idiggreenacres.com/products/enduro-verbena?variant=31309769932823,,$8.95,0.67-1,1.5-2,Full Sun,Low
363,Ivy 'English',Hedera helix,https://idiggreenacres.com/products/englishivy?variant=9881349324852,,$6.95,0.5-0.67,15-15,Filtered Sun; Full Shade; Medium Light,Moderate
364,Euphorbia,Euphorbia x martinii 'Ascot Rainbow',https://idiggreenacres.com/products/euphorbia-ascot-rainbow?variant=13335355523124,,$6.25-$12.50,2-3,2-3,Full Sun,Moderate
365,Euphorbia,Euphorbia hypericifolia,https://idiggreenacres.com/products/euphorbia-breathless-white?variant=14000171286580,,$6.25-$12.50,0.83-1,2-2.33,Full Sun; Morning Sun,Low
366,Euphorbia 'Sticks on Fire',Euphorbia tirucalli 'Sticks on Fire',https://idiggreenacres.com/products/euphorbia-sticks-on-fire?variant=38402771288233,,$27.50,4-8,5-5,Full Sun,Moderate
367,Euryops Daisy,Euryops pectinatus,https://idiggreenacres.com/products/euryops-daisy?variant=13344100876340,,$8.95-$29.50,3-6,3-6,Full Sun,Moderate
368,Evolvulus,Evolvulus 'Beach Bum Blue',https://idiggreenacres.com/products/evolvulus-beach-bum-blue?variant=39608553242793,,$6.25-$9.95,1-2,0.5-1,Full Sun,Moderate
369,Fan Flower,,https://idiggreenacres.com/products/fan-flower?variant=31464737636375,,$8.95,0.33-0.5,1-2,Full Sun,Low
370,Feather Reed Grass 'Karl Foerster',Calamagrostis x 'Karl Foerster',https://idiggreenacres.com/products/feather-reed-grass-karl-foerster?variant=31500716834839,,$10.50-$32.50,3-5,2-3,Full Sun,Low
371,Fescue 'Buddy Blue',Festuca glauca 'Buddy Blue',https://idiggreenacres.com/products/fescue-buddy-blue?variant=43758703018153,,$10.50,0.67-1,1-2,Filtered Sun; Full Sun,Moderate
372,Fescue 'Elijah Blue',Festuca glauca 'Elijah Blue',https://idiggreenacres.com/products/festucaelijahblue?variant=9881374326836,,$10.50,0.67-1,1-2,Filtered Sun; Full Sun,Moderate
373,Fiber Optic Grass,Scirpus cernuus,https://idiggreenacres.com/products/fiber-optic-grass?variant=13996368330804,,$6.25-$12.50,0.5-0.83,1.25-1.67,Morning Sun/Afternoon Shade,High
374,Firehouse&#8482; Verbena,Firehouse&#8482; Verbena Series,https://idiggreenacres.com/products/firehouse-verbena?variant=31399445397527,,$8.95,0.67-0.83,1.5-1.83,Full Sun,Low
375,Flapjack 'Desert Rose',Kalanchoe luciae (K. thyrsiflora) 'Desert Rose',https://idiggreenacres.com/products/flapjack-desert-rose?variant=14485773025332,,$27.50,1-2,1-2,Morning Sun,Low
376,Flowering Kalanchoe,Kalanchoe blossfeldiana,https://idiggreenacres.com/products/flowering-kalanchoe?variant=31238434160663,,$6.25-$12.50,1-1.5,1-1.5,Full Sun; Morning Sun,Low
377,Foothill Penstemon 'Margarita BOP',Penstemon heterophyllus 'Margarita BOP',https://idiggreenacres.com/products/foothill-penstemon-margarita-bop?variant=29114122633268,,$10.50-$26.50,1-2,2-3,Full Sun; Morning Sun,Low
378,Fountain Grass 'Fireworks',Pennisetum setaceum 'Fireworks',https://idiggreenacres.com/products/fountain-grass-fireworks?variant=28837253120052,,$9.50-$12.50,2-3,2-2,Full Sun,Low
379,Freesia,,https://idiggreenacres.com/products/freesia?variant=14833844617268,,$8.95,1-2,1-2,Filtered Sun; Full Sun; Morning Sun,Moderate
380,French Lavender,Lavandula dentata,https://idiggreenacres.com/products/french-lavender-1?variant=38628397678761,,$10.50,2-3,3-4,Full Sun,Low
381,Fuchsia,Fuchsia magellanica,https://idiggreenacres.com/products/fuchsia?variant=31633194385431,,$6.25-$8.95,1-2,2-3,Full Shade; Morning Sun,Moderate
382,Fuchsia Hanging Basket,Fuchsia magellanica,https://idiggreenacres.com/products/fuchsia-hanging-basket?variant=39462063112361,,$32.50,1-2,2-3,Full Shade; Morning Sun,Moderate
383,Garden Penstemon,Penstemon x gloxinioides,https://idiggreenacres.com/products/garden-penstemon?variant=41889535000745,,$8.95,2-4,3-3,Full Sun; Morning Sun,Low
384,Garvinea&#174; Gerbera Daisy,Gerbera jamesonii 'Garvinea Series',https://idiggreenacres.com/products/garvinea-174-gerbera-daisy?variant=46979265429673,,$16.50-$35.00,1.5-1.5,1.5-1.5,Morning Sun,Moderate
385,Gaura,Gaura lindheimeri,https://idiggreenacres.com/products/gaura?variant=14662437634100,,$6.25-$9.95,3-4,3-4,Full Sun,Moderate
386,Gaura 'Belleza',Gaura lindheimeri 'Belleza',https://idiggreenacres.com/products/gaurabelleza?variant=9881409421364,,$8.95-$9.95,1-2,1-2,Full Sun,Moderate
387,Gazania,,https://idiggreenacres.com/products/gazania?variant=41186950119593,missing_width,$5.25-$8.95,0.5-0.83,,Full Sun,Moderate
388,Geranium,Pelargonium hortorum 'Vancouver Centennial',https://idiggreenacres.com/products/geranium-vancouver-centennial?variant=39453365600425,,$5.95-$10.50,2-3,2-3,Filtered Sun; Full Shade,Low
389,Gerbera Daisy,Gerbera jamesonii,https://idiggreenacres.com/products/gerbera?variant=31278336835607,,$6.25-$8.95,1-2,1-2,Morning Sun,High
390,Germander 'Summer Sunshine',Teucrium chamaedrys 'Summer Sunshine',https://idiggreenacres.com/products/germander-summer-sunshine?variant=14747008466996,,$10.50,0.5-0.67,1-1.25,Full Sun; Morning Sun,Low
391,Gloriosa Daisy,,https://idiggreenacres.com/products/gloriosa-daisy?variant=31307100061719,,$9.95-$32.50,2-4,1-2,Full Sun,Moderate
392,Golden Moneywort,Lysimachia nummularia 'Aurea',https://idiggreenacres.com/products/golden-moneywort?variant=28622226948148,missing_width,$27.50,0.33-0.67,,Filtered Sun; Full Shade; Morning Sun; Morning Sun/Afternoon Shade or Full Shade,Moderate
393,Grafted Moon Cactus,Gymnocalycium mihanovichii,https://idiggreenacres.com/products/grafted-moon-cactus?variant=14839714086964,,$6.50,0.83-1,0.33-0.33,Full Sun; Morning Sun,Low
394,Graptosedum,Graptosedum 'Vera Higgins',https://idiggreenacres.com/products/graptosedum-vera-higgins?variant=14834866061364,,$6.25-$6.95,0.67-0.83,1-2,Full Sun; Morning Sun,Low
395,Green Carpet,Herniaria glabra,https://idiggreenacres.com/products/green-carpet?variant=28621925646388,missing_width,$27.50,0.08-0.25,,Full Sun; Morning Sun; Full Sun or Morning Sun/Afternoon Shade,Moderate
396,Green Moneywort,Lysimachia nummularia,https://idiggreenacres.com/products/green-moneywort?variant=31504739041303,missing_width,$6.25-$27.50,0.33-0.67,,Filtered Sun; Full Shade; Morning Sun; Morning Sun/Afternoon Shade or Full Shade,Moderate
397,Green Santolina,Santolina virens,https://idiggreenacres.com/products/green-santolina?variant=13786933100596,,$9.95-$10.50,2-2,3-3,Full Sun,Low
398,Ground Ivy,Glechoma hederacea,https://idiggreenacres.com/products/ground-ivy?variant=14483129663540,missing_width,$6.25,0.25-0.25,,Full Shade; Morning Sun; Morning Sun/Afternoon Shade,Moderate
399,Northern Lights Tufted Hair Grass,Deschampsia 'Northern Lights',https://idiggreenacres.com/products/hair-grass-northern-lights?variant=14465306492980,,$6.25,1-1,1-1,Morning Sun/Afternoon Shade,Moderate
400,Hanging Basket 12,Hanging Basket Assorted,https://idiggreenacres.com/products/hanging-basket?variant=43049451061417,missing_height; missing_width,$27.50-$35.00,,,Full Sun; Morning Sun; Full Sun or Morning Sun/Afternoon Shade,Moderate
401,Havana&#8482; Lantana,,https://idiggreenacres.com/products/havana-8482-lantana?variant=41871954870441,,$8.95,0.67-1,0.83-1,Full Sun,Moderate
402,Haworthia,,https://idiggreenacres.com/products/haworthia-limifolia?variant=14125049249844,,$6.25-$6.95,0.25-0.42,0.25-0.33,Bright Light; Morning Sun,Low; Moderate
403,Heliotrope,,https://idiggreenacres.com/products/heliotrope?variant=14659226304564,,$6.25-$8.95,1-2,1-2,Full Sun; Morning Sun,Moderate
404,Hens & Chicks,Sempervivum Assorted,https://idiggreenacres.com/products/hens-chicks?variant=38762756702377,missing_width,$4.25-$6.95,0.33-0.5,,Full Sun; Morning Sun; Full Sun or Morning Sun/Afternoon Shade,Low; Moderate; Low to Moderate
405,Coral Bells,,https://idiggreenacres.com/products/heuchera?variant=39608542134441,,$8.25-$15.00,1-2,1-2,Full Shade; Full Sun; Morning Sun,Moderate
406,Ivy Geranium,Pelargonium peltatum,https://idiggreenacres.com/products/ivy-geranium?variant=31309839073303,,$6.25-$8.95,1-1,2-4,Morning Sun,Moderate
407,Ivy 'Hahn's',Hedera helix,https://idiggreenacres.com/products/ivy-hahns-ivy?variant=31248521068567,,$6.95,0.5-0.67,15-15,Filtered Sun; Full Shade,Moderate
408,Japanese Blood Grass,Imperata cylindrica 'Red Baron',https://idiggreenacres.com/products/japanese-blood-grass?variant=31466796843031,,$10.50,2-3,2-2,Full Sun; Morning Sun,Low
409,Japanese Forest Grass 'All Gold',Hakonechloa macra 'All Gold',https://idiggreenacres.com/products/japanese-forest-grass-all-gold?variant=14700574081076,,$12.50,1-1.5,1-1.5,Filtered Sun; Full Shade; Morning Sun,Moderate
410,Japanese Forest Grass 'Aureola',Hakonechloa macra 'Aureola',https://idiggreenacres.com/products/japanese-forest-grass-aureola?variant=14709191180340,,$12.50,1-1.5,1-1.5,Filtered Sun; Full Shade; Morning Sun,Moderate
411,Javelin Forte&#8482; Deep Purple Spanish Lavender,Lavandula stoechas 'Javelin Forte Deep Purple',https://idiggreenacres.com/products/javelin-forte-deep-purple-spanish-lavender?variant=38588076327081,,$10.50,1.17-1.67,1-1.5,Full Sun,Low
412,Kalanchoe 'Chocolate Soldier',Kalanchoe 'Chocolate Soldier',https://idiggreenacres.com/products/kalanchoe-chocolate-soldier?variant=14125089423412,missing_light,$6.25,1-3,1-3,,Low; Moderate
413,Kalanchoe millotii,Kalanchoe millotii,https://idiggreenacres.com/products/kalanchoe-millotii?variant=14834884640820,missing_light,$6.25,1-1.5,0.67-1,,Low; Moderate
414,Kangaroo Paw,Anigozanthos Assorted,https://idiggreenacres.com/products/kangaroo-paw?variant=39608453464233,,$8.25-$13.50,3-4,3-4,Full Sun,Low
415,Kangaroo Paw 'Pot-A-Roo',,https://idiggreenacres.com/products/kangaroo-paw-pot-a-roo?variant=14036380975156,,$13.50,1-4,2-3,Full Sun,Low
416,Silver Carpet Lamb's Ear,Stachys byzantina 'Silver Carpet',https://idiggreenacres.com/products/lambs-ear?variant=13335048716340,,$8.95,1.5-2.5,0.33-0.5,Full Sun,Low
417,Lamb's Ear,Stachys byzantina,https://idiggreenacres.com/products/lambs-ear-1?variant=31626160832535,missing_width,$8.95-$9.95,1.5-1.5,,Full Sun; Full Sun or Morning Sun/Afternoon Shade,Low
418,Lamb's Ear 'Helene Von Stein',Stachys byzantina 'Helen Von Stein',https://idiggreenacres.com/products/lambs-ear-helene-von-stein?variant=31309693386775,missing_width,$8.95,1.5-1.5,,Full Sun; Full Sun or Morning Sun/Afternoon Shade,Low
419,Lampranthus 'Deltoides',,https://idiggreenacres.com/products/lampranthus-deltoides?variant=14125173899316,,$6.25,0.5-1,2-3,Full Sun,Low; Moderate
420,Landmark&#8482; Lantana,,https://idiggreenacres.com/products/landmark-8482-lantana?variant=41871933571241,,$8.95,1.25-1.67,1.5-1.67,Full Sun,Moderate
421,Lantana,,https://idiggreenacres.com/products/lantana?variant=40821462925481,,$6.25-$26.50,2-4,2-4,Full Sun,Moderate
422,Lucky&#8482; Lantana,,https://idiggreenacres.com/products/lantana-lucky?variant=41871895134377,,$8.95,1-1.33,1-1.17,Full Sun,Moderate
423,New Gold Lantana,Lantana x 'New Gold',https://idiggreenacres.com/products/lantana-new-gold?variant=29010349326388,,$8.95,2-4,2-4,Full Sun,Low; Moderate
424,Lantana 'Trailing Purple',Lantana montevidensis 'Trailing Purple',https://idiggreenacres.com/products/lantana-trailing-purple?variant=9881507430452,,$7.95-$26.50,1-2,2-4,Full Sun,Low
425,Lantana 'Trailing White',Lantana montevidensis 'Trailing White',https://idiggreenacres.com/products/lantana-trailing-white?variant=9711847243828,,$7.95,1-2,2-4,Full Sun,Low
426,Lascar&#8482; Verbena,Lascar&#8482; Verbena Series,https://idiggreenacres.com/products/lascar-verbena?variant=28836797382708,,$8.95,1-1.17,1-1.33,Full Sun,Low
427,Lavender 'Anouk Deep Rose',Lavandula stoechas 'Anouk Rose',https://idiggreenacres.com/products/lavender-anouk-deep-rose?variant=31733567094807,,$10.50,3-3,2-3,Full Sun,Low
428,Lavender 'Anouk Double',Lavandula stoechas 'Anouk Double',https://idiggreenacres.com/products/lavender-anouk-double?variant=31740375957527,,$10.50,2-2,2-2,Full Sun,Low
429,Lavender 'Blue Spear',Lavandula angustifolia 'Blue Spear',https://idiggreenacres.com/products/lavender-blue-spear?variant=41186660090025,,$10.50,0.83-1,0.83-1,Full Sun,Low
430,Lavender Cotton,Santolina chamaecyparissus,https://idiggreenacres.com/products/lavender-cotton?variant=13786884374580,,$9.95-$10.50,2-2,3-3,Full Sun,Low
431,Lavender,Lavandula stoechas 'Otto Quast',https://idiggreenacres.com/products/lavender-otto-quast?variant=39452601647273,,$6.25-$9.95,2-3,2-3,Full Sun,Low
432,Lavender 'Super Blue',Lavandula angustifolia 'Super Blue',https://idiggreenacres.com/products/lavender-super-blue?variant=31577454903319,,$9.95-$26.50,0.83-1,0.83-1,Full Sun,Low
433,Lavender 'Thumbelina Leigh',Lavandula angustifolia 'Thumbelina Leigh',https://idiggreenacres.com/products/lavender-thumbelina-leigh?variant=31443771654167,,$12.50,0.5-1,1-1.5,Full Sun,Low
434,Lavender 'Goodwin Creek',Lavandula x 'Goodwin Creek',https://idiggreenacres.com/products/lavendergoodwincreek?variant=9881508708404,,$9.95-$10.50,2-3,3-4,Full Sun,Low
435,Lavender 'Grosso',Lavandula x intermedia 'Grosso',https://idiggreenacres.com/products/lavendergrosso?variant=9881509232692,,$10.50,2-3,2-4,Full Sun,Low
