Plant_ID,Product_Name,Botanical_Name,Green_Acres_URL,Warnings,Price_Display,Height_ft,Width_ft,Light,Water
37,Basil 'Large Leaf Italian',Ocimum basilicum 'Large Leaf Italian',https://idiggreenacres.com/products/basil-large-leaf-italian-1?variant=41513041690793,,$7.50,1-2,0.67-0.83,Full Sun,High; Moderate; Moderate to High
38,Basil,Ocimum basilicum,https://idiggreenacres.com/products/basil-sweet-genovese?variant=14333274947636,,$3.75-$8.95,1-2,0.67-0.83,Full Sun,High; Moderate; Moderate to High
39,Basil,Ocimum basilicum var. thyrsiflora,https://idiggreenacres.com/products/basil-thai?variant=14333370171444,,$3.75-$3.95,1-2,0.67-0.83,Full Sun,High; Moderate; Moderate to High
40,Bitter Melon,Cucumis sativus,https://idiggreenacres.com/products/bitter-melon?variant=41928451293353,,$3.25,0.5-0.67,6-8,Full Sun,High; Moderate; Moderate to High
41,Borage,Borago officinalis,https://idiggreenacres.com/products/borage?variant=14354239193140,,$3.95,3-3,2-2,Full Sun,High; Moderate; Moderate to High
42,Bush Bean 'Blue Lake',Phaseolus vulgaris,https://idiggreenacres.com/products/bush-bean-blue-lake?variant=39356778250409,,$3.25-$5.95,1-2,1-2,Full Sun,Moderate
43,Catnip,Nepeta cataria,https://idiggreenacres.com/products/catnip?variant=14354354438196,,$3.95,3-3,3-3,Full Sun,High; Moderate; Moderate to High
44,Celery,Apium graveolens,https://idiggreenacres.com/products/celery?variant=29252479123508,,$5.95,1-2,1-1,Full Sun,Moderate
45,Chamomile,Matricaria chamomilla,https://idiggreenacres.com/products/chamomile?variant=14334442340404,,$3.95,0.83-1,0.33-0.5,Full Sun,High; Moderate; Moderate to High
46,Chives,Allium schoenoprasum,https://idiggreenacres.com/products/chives?variant=14333501603892,,$3.75-$3.95,1-1.5,0.25-0.33,Full Sun,High; Moderate; Moderate to High
47,Chives 'Garlic',Allium tuberosum,https://idiggreenacres.com/products/chives-garlic?variant=14354496749620,,$3.95,1-1.5,0.25-0.33,Full Sun,High; Moderate; Moderate to High
48,Chives,Allium schoenoprasum,https://idiggreenacres.com/products/chives-onion-organic-chives?variant=43220862599337,,$4.25-$6.95,1-1.5,0.25-0.33,Full Sun,High; Moderate; Moderate to High
49,Cilantro/Coriander,Coriandrum sativum,https://idiggreenacres.com/products/cilantro-coriander?variant=14333609148468,,$3.75-$3.95,1-2,0.83-1.17,Full Sun,High; Moderate; Moderate to High
50,Collard Greens,Brassica oleracea var. viridis,https://idiggreenacres.com/products/collard-greens?variant=41315452584105,,$3.25-$5.95,2-3,1-1,Full Sun,Moderate
51,Corn Bicolor,Zea mays,https://idiggreenacres.com/products/corn-bicolor?variant=31218387353623,,$5.95,4-6,0.75-1,Full Sun,Moderate
52,Cucamelon,Cucumis sativus,https://idiggreenacres.com/products/cucamelon?variant=41928421802153,,$3.25,0.5-0.67,4-7,Full Sun,High; Moderate; Moderate to High
53,Cucumber,Cucumis sativus,https://idiggreenacres.com/products/cucumber-burpless?variant=14045957619764,,$3.25,0.5-0.67,3-4,Full Sun,High; Moderate; Moderate to High
54,Cucumber 'English Tender Crisp',Cucumis sativus,https://idiggreenacres.com/products/cucumber-english?variant=14046095212596,,$3.25,0.5-0.67,3-4,Full Sun,High; Moderate; Moderate to High
55,Cucumber 'Japanese Long',Cucumis sativus,https://idiggreenacres.com/products/cucumber-japanese-long?variant=14046055071796,,$3.25,0.5-0.67,3-4,Full Sun,High; Moderate; Moderate to High
56,Cucumber 'Lemon',Cucumis sativus,https://idiggreenacres.com/products/cucumber-lemon?variant=14046124179508,,$3.25,0.5-0.67,3-4,Full Sun,High; Moderate; Moderate to High
57,Cucumber 'Persian',Cucumis sativus,https://idiggreenacres.com/products/cucumber-persian?variant=31207627784215,,$3.25,0.5-0.67,4-7,Full Sun,High; Moderate; Moderate to High
58,Cucumber 'Pickling Bush',Cucumis sativus,https://idiggreenacres.com/products/cucumber-pickling-bush?variant=14046023876660,,$3.25,0.5-0.67,3-4,Full Sun,High; Moderate; Moderate to High
59,Cucumber 'Saladmore Bush Hybrid',Cucumis sativus,https://idiggreenacres.com/products/cucumber-saladmore-bush-hybrid?variant=31207675035671,,$3.25,0.67-0.83,2-2,Full Sun,High; Moderate; Moderate to High
60,Cucumber 'Spartan Valor',Cucumis sativus,https://idiggreenacres.com/products/cucumber-spartan-valor?variant=14046164549684,,$3.25,0.5-0.67,3-4,Full Sun,High; Moderate; Moderate to High
61,Dill,Anethum graveolens,https://idiggreenacres.com/products/dill?variant=14334303043636,,$3.75-$3.95,3-3,1-2,Full Sun,High; Moderate; Moderate to High
62,"Dill, Organic",Anethum graveolens,https://idiggreenacres.com/products/dill-organic?variant=43220865417385,,$4.25-$4.95,3-3,1-2,Full Sun,High; Moderate; Moderate to High
63,Edamame Beans,Glycine max,https://idiggreenacres.com/products/edamame-beans?variant=14045392601140,,$5.95,2-2,2-2,Full Sun,High; Moderate; High to Moderate
64,Eggplant,Solanum melongena,https://idiggreenacres.com/products/eggplant-black-beauty?variant=14046250369076,,$3.25,1.5-2,1.33-1.33,Full Sun,High; Moderate; Moderate to High
65,Eggplant 'Cloud Nine',Solanum melongena,https://idiggreenacres.com/products/eggplant-cloud-nine?variant=14046255808564,,$3.25,2.5-4,1.33-1.33,Full Sun,High; Moderate; Moderate to High
66,Eggplant 'Fairytale',Solanum melongena,https://idiggreenacres.com/products/eggplant-fairy-tale?variant=14046301683764,,$3.25,1.5-2,1.5-1.5,Full Sun,High; Moderate; Moderate to High
67,Eggplant 'Ichiban',Solanum melongena,https://idiggreenacres.com/products/eggplant-ichiban?variant=14048872202292,,$3.25,3-4,2-3,Full Sun,High; Moderate; Moderate to High
68,Eggplant 'Japanese Long',Solanum melongena,https://idiggreenacres.com/products/eggplant-japanese-long?variant=31207696072727,,$3.25,3-4,2-3,Full Sun,High; Moderate; Moderate to High
69,Eggplant 'Millionaire',Solanum melongena,https://idiggreenacres.com/products/eggplant-millionaire?variant=31430849757207,,$3.25,3-4,2-3,Full Sun,High; Moderate; Moderate to High
70,Fava Bean,Vicia faba,https://idiggreenacres.com/products/fava-bean?variant=43280307617961,,$5.59,1-2,1-2,Full Sun,Moderate
