Plant_ID,Category,Common_Name,Botanical_Name,Current_Image,Current_Exists,Best_Image,Best_Score,Best_Hits,Would_Apply
843,SHRUBS,Euonymus Gracilis,,/GreenAcres-Images/Shrubs/Euonymous_Gracilis_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Euonymous_Gracilis_512x.jpg,22,euonymus; gracilis; contains:gracilis,FALSE
844,SHRUBS,Euonymus Silver Queen,,/GreenAcres-Images/Shrubs/Euonymous_SilverQueen_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Euonymous_SilverQueen_512x.jpg,26,euonymus; silverqueen; contains:silver; contains:silverqueen,FALSE
845,SHRUBS,Euonymus Sunny Delight,,/GreenAcres-Images/Shrubs/Euonymous_SunnyDelight_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Euonymous_SunnyDelight_512x.jpg,26,euonymus; sunnydelight; contains:delight; contains:sunnydelight,FALSE
846,SHRUBS,Euonymus Green Spire,Euonymus japonicus 'Green Spire',/GreenAcres-Images/Shrubs/Euonymus_GreenSpire_01_27454f7a-6dd1-4c84-a186-ff6fee950c25_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Euonymus_GreenSpire_01_27454f7a-6dd1-4c84-a186-ff6fee950c25_512x.jpg,31,euonymus; spire; euonymusgreenspire; contains:euonymus; contains:euonymusgreenspire,FALSE
847,SHRUBS,Fern Pine Glacier Blue,,/GreenAcres-Images/Shrubs/Podocarpus_GlacierBlue_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Podocarpus_GlacierBlue_512x.jpg,18,glacierblue; contains:glacier; contains:glacierblue,FALSE
848,SHRUBS,Fern Pine Icee Blue,,/GreenAcres-Images/Shrubs/Juniperus_IceeBlue_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Juniperus_IceeBlue_512x.jpg,14,iceeblue; contains:iceeblue,FALSE
849,SHRUBS,Festival Burgundy Cordyline,,/GreenAcres-Images/Shrubs/Cordyline_FestivalGrass_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Cordyline_FestivalGrass_512x.jpg,22,cordyline; contains:festival; contains:cordyline; contains:cordylinefestival,FALSE
850,SHRUBS,Flax Lily Coolvista,,/GreenAcres-Images/Shrubs/Dianella_CoolVista_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Dianella_CoolVista_512x.jpg,14,coolvista; contains:coolvista,FALSE
851,SHRUBS,Flowering Quince Kurokoji,,/GreenAcres-Images/Shrubs/Quince_Chaenomeles_Kurokoji_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Quince_Chaenomeles_Kurokoji_512x.jpg,23,quince; kurokoji; contains:quince; contains:kurokoji,FALSE
852,SHRUBS,Fountain Grass Hameln,,/GreenAcres-Images/Shrubs/Pennisetum_Hameln_hedge_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Pennisetum_Hameln_hedge_512x.jpg,11,hameln; contains:hameln,FALSE
853,SHRUBS,Fountain Grass Karley Rose,,/GreenAcres-Images/Shrubs/Pennisetum_KarleyRose_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Pennisetum_KarleyRose_512x.jpg,18,karleyrose; contains:karley; contains:karleyrose,FALSE
854,SHRUBS,Fountain Grass Little Bunny,,,FALSE,/GreenAcres-Images/Shrubs/Pennisetum_LittleBunny3_512x.jpg,10,contains:little; contains:littlebunny,FALSE
