plantId,productName,botanicalName,usdaNationalMatch,usdaNationalConfidence,usdaCaliforniaMatch,usdaCaliforniaConfidence,permapeopleMatch,permapeopleScientific,permapeopleConfidence,companionRows
91,Mint,,,,,,,,,0
92,Mint,Mentha spicata,,,,,,,,0
93,Tomato 'Momotaro',Solanum lycopersicum,,,,,,,,0
94,Okra 'Clemson Spineless',Abelmoschus esculentus,,,,,,,,0
95,Okra,Abelmoschus esculentus,,,,,,,,0
96,Onion 'Scallions/Green Onions',Allium cepa,,,,,,,,0
97,Onion 'Shallots',Allium cepa,,,,,,,,0
98,Onion 'Red',Allium cepa,,,,,,,,0
99,Onion 'White',Allium cepa,,,,,,,,0
100,Onion 'Yellow',Allium cepa,,,,,,,,0
101,Oregano,Origanum vulgare,,,,,,,,0
102,Oregano 'Hot n' Spicy',Origanum vulgare,,,,,,,,0
103,Oregano,Origanum vulgare,,,,,,,,0
104,"Cilantro/Coriander, Organic",Coriandrum sativum,,,,,,,,0
105,Melon 'Hearts of Gold Cantaloupe',Cucumis melo,,,,,,,,0
106,Mint,Mentha spicata,,,,,,,,0
107,Oregano 'Italian' Organic,Origanum vulgare,,,,,,,,0
108,Rosemary 'Barbecue',Rosmarinus officinalis,,,,,,,,0
109,Thyme 'English',Thymus vulgaris,,,,,,,,0
110,Thyme 'Lemon' Organic,Thymus x citriodorus 'Lemon',,,,,,,,0
111,Parsley 'Curly Leaf',Petroselinum crispum,,,,,,,,0
112,Parsley,Petroselinum crispum,,,,,,,,0
113,Pepper 'Anaheim',Capsicum annuum,,,,,,,,0
114,Pepper 'Big Bertha',Capsicum annuum,,,,,,,,0
115,Pepper 'Calabrian Chile',Capsicum annuum,,,,,,,,0
116,Pepper 'Caribbean Red',Capsicum annuum,,,,,,,,0
117,Pepper,Capsicum annuum,,,,,,,,0
118,Pepper,Capsicum annuum,,,,,,,,0
119,Pepper 'Chile de Arbol',Capsicum annuum,,,,,,,,0
120,Pepper 'Eisley Wax',Capsicum annuum,,,,,,,,0
121,Pepper,Capsicum annuum,,,,,,,,0
122,Pepper 'Garden Salsa',Capsicum annuum,,,,,,,,0
123,Pepper,Capsicum annuum,,,,,,,,0
124,Pepper 'Green Bell',Capsicum annuum,,,,,,,,0
125,Pepper 'Gypsy',Capsicum annuum,,,,,,,,0
126,Pepper,Capsicum annuum,,,,,,,,0
127,Pepper,Capsicum annuum,,,,,,,,0
128,Pepper 'Italian Long',Capsicum annuum,,,,,,,,0
129,Pepper,Capsicum annuum,,,,,,,,0
130,Pepper 'Jimmy Nardello',Capsicum annuum,,,,,,,,0
131,Pepper 'Marconi',Capsicum annuum,,,,,,,,0
132,Pepper,Capsicum annuum,,,,,,,,0
133,Pepper 'Padron',Capsicum annuum,,,,,,,,0
134,Pepper 'Pepperoncini',Capsicum annuum,,,,,,,,0
135,Pepper,Capsicum annuum,,,,,,,,0
136,Pepper 'Purple Bell',Capsicum annuum,,,,,,,,0
137,Pepper 'Red Bell',Capsicum annuum,,,,,,,,0
138,Pepper,Capsicum annuum,,,,,,,,0
139,Pepper,Capsicum annuum,,,,,,,,0
140,Pepper,Capsicum annuum,,,,,,,,0
141,Pepper 'Snackabelle Red',Capsicum annuum,,,,,,,,0
142,Pepper 'Spanish Sweet',Capsicum annuum,,,,,,,,0
143,Pepper,Capsicum annuum,,,,,,,,0
144,Pepper 'Sweet Cherry',Capsicum annuum,,,,,,,,0
145,Pepper 'Sweet Italian',Capsicum annuum,,,,,,,,0
146,Pepper 'Thai',Capsicum annuum,,,,,,,,0
147,Pepper,Capsicum annuum,,,,,,,,0
